timestamp,open,high,low,close,volume
2026-05-09 08:00:00+08:00,91.96,94.12,91.8,93.06,7039159.22
2026-05-10 08:00:00+08:00,93.06,96.92,92.53,96.43,12124757.69
2026-05-11 08:00:00+08:00,96.42,98.36,94.23,97.3,10970053.3
2026-05-12 08:00:00+08:00,97.3,97.61,93.55,94.24,9114115.82
2026-05-13 08:00:00+08:00,94.24,95.93,90.23,91.11,10391822.97
2026-05-14 08:00:00+08:00,91.11,93.62,89.76,92.11,8246476.01
2026-05-15 08:00:00+08:00,92.1,92.61,88.47,89.19,7509408.02
2026-05-16 08:00:00+08:00,89.19,89.4,85.47,86.49,5821294.24
2026-05-17 08:00:00+08:00,86.49,87.24,83.29,85.17,6123201.14
2026-05-18 08:00:00+08:00,85.17,85.75,83.42,85.34,7056130.66
2026-05-19 08:00:00+08:00,85.34,85.95,83.62,84.24,4375767.06
2026-05-20 08:00:00+08:00,84.25,87.03,83.79,86.1,6002914.44
2026-05-21 08:00:00+08:00,86.1,87.97,85.26,87.3,7330606.16
2026-05-22 08:00:00+08:00,87.29,87.82,83.9,84.34,6731011.92
2026-05-23 08:00:00+08:00,84.35,87.5,81.35,85.71,9558608.29
2026-05-24 08:00:00+08:00,85.72,87.0,83.57,85.22,5418105.1
2026-05-25 08:00:00+08:00,85.22,86.48,84.64,84.99,3980055.08
2026-05-26 08:00:00+08:00,85.0,86.1,83.08,83.66,6659376.04
2026-05-27 08:00:00+08:00,83.66,84.78,82.06,82.38,5967098.18
2026-05-28 08:00:00+08:00,82.37,82.97,79.93,82.08,7645813.33
2026-05-29 08:00:00+08:00,82.07,83.2,80.3,81.99,5338478.47
2026-05-30 08:00:00+08:00,81.98,83.14,81.82,82.69,2654214.82
2026-05-31 08:00:00+08:00,82.69,83.39,81.29,82.4,3416089.86
2026-06-01 08:00:00+08:00,82.41,83.08,79.06,81.24,7662187.62
2026-06-02 08:00:00+08:00,81.24,81.26,74.32,75.15,10161111.71
